['a', 'president', 'eats', 'a', 'president']
['a', 'president', 'eats', 'a', 'Obama']
['a', 'president', 'eats', 'a', 'apple']
['a', 'president', 'eats', 'a', 'coke']
['a', 'president', 'eats', 'an', 'president']
['a', 'president', 'eats', 'an', 'Obama']
['a', 'president', 'eats', 'an', 'apple']
['a', 'president', 'eats', 'an', 'coke']
['a', 'president', 'eats', 'the', 'president']
['a', 'president', 'eats', 'the', 'Obama']
['a', 'president', 'eats', 'the', 'apple']
['a', 'president', 'eats', 'the', 'coke']
['a', 'president', 'drinks', 'a', 'president']
['a', 'president', 'drinks', 'a', 'Obama']
['a', 'president', 'drinks', 'a', 'apple']
['a', 'president', 'drinks', 'a', 'coke']
['a', 'president', 'drinks', 'an', 'president']
['a', 'president', 'drinks', 'an', 'Obama']
['a', 'president', 'drinks', 'an', 'apple']
['a', 'president', 'drinks', 'an', 'coke']
['a', 'president', 'drinks', 'the', 'president']
['a', 'president', 'drinks', 'the', 'Obama']
['a', 'president', 'drinks', 'the', 'apple']
['a', 'president', 'drinks', 'the', 'coke']
['a', 'Obama', 'eats', 'a', 'president']
['a', 'Obama', 'eats', 'a', 'Obama']
['a', 'Obama', 'eats', 'a', 'apple']
['a', 'Obama', 'eats', 'a', 'coke']
['a', 'Obama', 'eats', 'an', 'president']
['a', 'Obama', 'eats', 'an', 'Obama']
['a', 'Obama', 'eats', 'an', 'apple']
['a', 'Obama', 'eats', 'an', 'coke']
['a', 'Obama', 'eats', 'the', 'president']
['a', 'Obama', 'eats', 'the', 'Obama']
['a', 'Obama', 'eats', 'the', 'apple']
['a', 'Obama', 'eats', 'the', 'coke']
['a', 'Obama', 'drinks', 'a', 'president']
['a', 'Obama', 'drinks', 'a', 'Obama']
['a', 'Obama', 'drinks', 'a', 'apple']
['a', 'Obama', 'drinks', 'a', 'coke']
['a', 'Obama', 'drinks', 'an', 'president']
['a', 'Obama', 'drinks', 'an', 'Obama']
['a', 'Obama', 'drinks', 'an', 'apple']
['a', 'Obama', 'drinks', 'an', 'coke']
['a', 'Obama', 'drinks', 'the', 'president']
['a', 'Obama', 'drinks', 'the', 'Obama']
['a', 'Obama', 'drinks', 'the', 'apple']
['a', 'Obama', 'drinks', 'the', 'coke']
['a', 'apple', 'eats', 'a', 'president']
['a', 'apple', 'eats', 'a', 'Obama']
['a', 'apple', 'eats', 'a', 'apple']
